symbol,name,price
MMRSA.VI,A.P. Møller - Mærsk A/S,"2,004.00"
MMRSK.VI,A.P. Møller - Mærsk A/S,"2,007.00"
6690D.VI,"Haier Smart Home Co., Ltd.",2.02
HHOT.VI,HOCHTIEF Aktiengesellschaft,385.80
WWI4.VI,"Weichai Power Co., Ltd.",3.33
DDGEN.VI,Dollar General Corporation,129.86
PPAYX.VI,"Paychex, Inc.",80.12
FFRE.VI,Fresenius SE & Co. KGaA,50.84
PPRY.VI,Prysmian S.p.A.,99.68
CCSG.VI,CSG N.V.,28.93
AARDA.VI,Archer-Daniels-Midland Company,58.56
AADS.VI,adidas AG,154.35
TTLX.VI,Talanx AG,105.70
FFISV.VI,"Fiserv, Inc.",49.94
CCTSH.VI,Cognizant Technology Solutions Corporation,56.02
XXYL.VI,Xylem Inc.,109.15
AACS.VI,"ACS, Actividades de Construcción y Servicios, S.A.",101.80
AAOC.VI,Aluminum Corporation of China Limited,1.41
SSQU.VI,"Block, Inc.",42.13
HHPE.VI,Hewlett Packard Enterprise Company,19.18
CCHTR.VI,"Charter Communications, Inc.",202.05
UULTA.VI,"Ulta Beauty, Inc.",576.40
PPPG.VI,"PPG Industries, Inc.",112.05
OONSE.VI,ON Semiconductor Corporation,61.34
GGAS.VI,"Naturgy Energy Group, S.A.",25.90
PPHIA.VI,Koninklijke Philips N.V.,26.15
VVIE.VI,Veolia Environnement SA,33.99
BBIIB.VI,Biogen Inc.,165.85
KKHC.VI,The Kraft Heinz Company,20.90
SSTMI.VI,STMicroelectronics N.V.,27.75
TTSCO.VI,Tractor Supply Company,46.35
NNZYM.VI,Novozymes A/S,52.38
VVEEV.VI,Veeva Systems Inc.,146.90
HHAL.VI,Halliburton Company,28.83
DDVN.VI,Devon Energy Corporation,37.94
IIQVH.VI,IQVIA Holdings Inc.,141.05
ZZSCA.VI,"Zscaler, Inc.",149.90
BBEI.VI,Beiersdorf Aktiengesellschaft,105.90
AABN.VI,ABN AMRO Bank N.V.,28.70
MMTD.VI,Mettler-Toledo International Inc.,"1,147.50"
EEXO.VI,Exor N.V.,71.15
ZZOOM.VI,"Zoom Communications, Inc.",78.37
EES.VI,Eversource Energy,62.00
CCNN1.VI,Canon Inc.,26.47
IIAG.VI,International Consolidated Airlines Group S.A.,5.04
BBPE.VI,BPER Banca SpA,11.74
DDXCM.VI,"DexCom, Inc.",59.19
LLUV.VI,Southwest Airlines Co.,43.15
BBNTX.VI,BioNTech SE,89.40
VVNA.VI,Vonovia SE,26.38
AAWK.VI,"American Water Works Company, Inc.",112.50
IIPCO.VI,International Paper Company,41.55
EEXPE.VI,"Expedia Group, Inc.",179.06
