symbol,name,price
MMDLZ34.SA,"Mondelez International, Inc.",160.20
CC1TA34.SA,Cintas Corporation,205.50
DD1EL34.SA,Dell Technologies Inc.,610.02
CCOLG34.SA,Colgate-Palmolive Company,72.38
CCPRL34.SA,Canadian Pacific Kansas City Limited,107.31
NNETE34.SA,"NetEase, Inc.",62.75
SSLBG34.SA,SLB N.V.,133.38
MMCOR34.SA,Moody's Corporation,558.12
HH1LT34.SA,Hilton Worldwide Holdings Inc.,70.10
CCSXC34.SA,CSX Corporation,107.00
CC1IC34.SA,The Cigna Group,377.20
GGMCO34.SA,General Motors Company,103.48
TT1DG34.SA,TransDigm Group Incorporated,134.39
MM1SI34.SA,"Motorola Solutions, Inc.",542.06
AAIRB34.SA,"Airbnb, Inc.",31.35
II1FO34.SA,Infosys Limited,45.99
EE1LV34.SA,"Elevance Health, Inc.",339.29
VVALE3.SA,Vale S.A.,87.03
KKMIC34.SA,"Kinder Morgan, Inc.",165.30
RR1YA34.SA,Ryanair Holdings plc,43.60
DD2AS34.SA,"DoorDash, Inc.",56.63
WW1BD34.SA,"Warner Bros. Discovery, Inc.",146.72
AA1ON34.SA,Aon plc,416.14
TT1EL34.SA,TE Connectivity plc,592.95
EE1QN34.SA,Equinor ASA,70.07
AA1EP34.SA,"American Electric Power Company, Inc.",323.40
TTRVC34.SA,"The Travelers Companies, Inc.",48.76
SSIMN34.SA,"Simon Property Group, Inc.",257.75
CCNIC34.SA,Canadian National Railway Company,23.25
AA1PD34.SA,"Air Products and Chemicals, Inc.",381.11
NN1WG34.SA,NatWest Group plc,83.57
PP1SX34.SA,Phillips 66,413.93
AAZOI34.SA,"AutoZone, Inc.",90.09
SS2EA34.SA,Sea Limited,22.22
LL1HX34.SA,"L3Harris Technologies, Inc.",439.65
FF1TN34.SA,"Fortinet, Inc.",219.43
SS2NW34.SA,Snowflake Inc.,23.74
MMSBR34.SA,Morgan Stanley,178.47
SS1RE34.SA,Sempra,123.46
NN1XP34.SA,NXP Semiconductors N.V.,637.56
VVLOE34.SA,Valero Energy Corporation,525.45
DD1LR34.SA,"Digital Realty Trust, Inc.",231.00
AA1FL34.SA,Aflac Incorporated,613.20
RR1IN34.SA,Realty Income Corporation,172.04
BB1KR34.SA,Baker Hughes Company,305.35
ZZ1TS34.SA,Zoetis Inc.,42.65
FFDMO34.SA,Ford Motor Company,73.79
GG1WW34.SA,"W.W. Grainger, Inc.",155.89
RR1EL34.SA,RELX PLC,40.50
UU1RI34.SA,"United Rentals, Inc.",162.25
CC1RR34.SA,Carrier Global Corporation,86.16
DDEOP34.SA,Diageo plc,28.65
DD1OM34.SA,"Dominion Energy, Inc.",166.90
AA1JG34.SA,Arthur J. Gallagher & Co.,555.01
AA1TT34.SA,The Allstate Corporation,45.08
OO1KE34.SA,"ONEOK, Inc.",219.81
AA1ME34.SA,"AMETEK, Inc.",50.00
AA1RG34.SA,argenx SE,174.75
TTGTB34.SA,Target Corporation,602.98
CC1AH34.SA,"Cardinal Health, Inc.","1,154.72"
PP1SA34.SA,Public Storage,305.92
FF1AN34.SA,"Diamondback Energy, Inc.",436.01
CC1TV34.SA,"Corteva, Inc.",98.30
EEAIN34.SA,Electronic Arts Inc.,521.32
GG1FI34.SA,Gold Fields Limited,142.09
II1DX34.SA,"IDEXX Laboratories, Inc.",648.33
AA1UT34.SA,"Autodesk, Inc.",302.94
AABEV3.SA,Ambev S.A.,16.35
BBPAC5.SA,Banco BTG Pactual S.A.,11.00
CC1MG34.SA,"Chipotle Mexican Grill, Inc.",9.60
BBIDU34.SA,"Baidu, Inc.",51.06
FF2NV34.SA,Franco-Nevada Corporation,7.13
CCTGP34.SA,Citigroup Inc.,96.10
HH1EI34.SA,HEICO Corporation,174.24
AARMT34.SA,ArcelorMittal S.A.,158.83
OOXYP34.SA,Occidental Petroleum Corporation,40.29
HHSHY34.SA,The Hershey Company,233.65
EE1XC34.SA,Exelon Corporation,231.14
NN1DA34.SA,"Nasdaq, Inc.",207.74
EE1WL34.SA,Edwards Lifesciences Corporation,100.76
DDEAI34.SA,"Delta Air Lines, Inc.",360.00
RR2BL34.SA,Roblox Corporation,32.96
CC1CL34.SA,Carnival Corporation & plc,167.96
CC2OI34.SA,"Coinbase Global, Inc.",34.43
DD1DG34.SA,"Datadog, Inc.",65.75
SS1YY34.SA,Sysco Corporation,238.80
AA1MP34.SA,"Ameriprise Financial, Inc.",618.95
WWEGE3.SA,WEG S.A.,53.80
MM1CH34.SA,Microchip Technology Incorporated,204.96
CC1BR34.SA,"CBRE Group, Inc.",740.53
